"url","Origin","Destination","Number of People","Age","Male Victim","Female Victim","Category","Date","City"
"https://www.whec.com/national/man-accused-of-forcing-california-woman-into-prostitution/5277093/",,,,,,,,,
"https://thegrio.com/2019/02/02/two-arrested-two-teen-girls-rescued-in-miami-beach-human-trafficking-case/","usa","usa",1,15,,1,"prostitution",,"miami beach"
"https://timesofindia.indiatimes.com/city/bareilly/human-trafficking-minor-bangladeshi-girl-rescued/articleshow/67800119.cms","bangladesh","india",1,10,,1,"prostitution","01/01/2012","mumbai"
"https://www.justice.gov/opa/pr/five-members-mexican-sex-trafficking-organization-sentenced-prison","mexico","usa",12,"14-21",0,12,"prostitution","07/01/2019","mexico"
"https://www.justice.gov/usao-edmo/pr/farmington-man-sentenced-sex-trafficking-and-child-pornography","usa","usa",1,16,0,1,"prostitution","19/12/2018","Farmington"
"http://www.eurasiareview.com/25032019-myanmar-women-girls-trafficked-as-brides-to-china-says-hrw/","myanmar","china",37,,,37,"prostitution","25/03/2019",
"https://lompocrecord.com/news/local/statewide-human-trafficking-operation-nets-arrests-rescues-in-santa-barbara/article_8e512d33-9046-5ab7-a10d-79c01625b546.html","usa",,48,,,48,"prostitution","01/01/2019","santa barbara"
"https://www.wlns.com/news/michigan-state-police-rescued-five-human-trafficking-victims-in-west-michigan/1637989875",,"usa",20,,,,,"03/12/2018","kalamazoo"
"https://www.turnto23.com/news/local-news/two-girls-rescued-from-human-trafficking-in-bakersfield",,"usa",2,18,,2,"prostitution","19/10/2018","bakersfield"
"https://www.bbc.com/news/world-latin-america-43941143",,"Caribbean and Latin American countries",350,,,,,"30/04/2018",
"https://www.justice.gov/usao-mdga/pr/dublin-man-sentenced-20-years-federal-prison-operating-interstate-pimping-ring-co","usa","georgia",10,,0,10,"prostitution","13/12/2018",
"https://abc7news.com/hundreds-arrested-in-human-trafficking-crackdown-in-california/3008362/",,"usa",56,,,56,"prostitution","31/01/2018","los angeles"
"https://www.news4jax.com/news/local/jacksonville/66-rescued-from-human-trafficking-last-year-in-jacksonville",,"usa",66,,,,,"16/01/2018","florida"
"https://www.justice.gov/usao-wdmo/pr/columbia-man-sentenced-15-years-child-sex-trafficking-0","usa","usa",3,17,0,3,"prostitution","13/12/2018","Columbia"
"https://www.kcra.com/article/14-arrested-cited-in-el-dorado-county-human-trafficking-sting-2/14463293",,"usa",1,17,,1,"prostitution","20/12/2017","california"
"http://www.ldsliving.com/How-Children-Rescued-from-Human-Trafficking-Are-Healed-with-Help-from-Operation-Underground-Railroad/s/86682/",,"usa",20,,,20,"prostitution",,"central america"
"https://www.nbcnews.com/news/us-news/84-children-rescued-120-human-traffickers-arrested-across-u-s-n812156",,"usa",84,"children",,,"prostitution","19/10/2017","san francisco"
"https://www.shreveporttimes.com/story/news/crime/2017/04/19/six-arrested-human-trafficking-two-teens-rescued/100639660/",,"usa",2,,,2,"prostitution","19/04/2017","Louisiana"
"https://www.justice.gov/usao-mn/pr/thirty-six-defendants-guilty-their-roles-international-thai-sex-trafficking-organization","Thailand","USA",100,,100,,"prostitution","13/12/2018",
"https://globalnews.ca/news/4956517/human-trafficking-Bonded Labour-canada/","Canada","Canada",43,"20 - 46",43,,"Bonded Bonded Labour","14-02-2019","Ontario"
"https://www.wtae.com/article/more-than-300-arrested-48-people-rescued-during-human-trafficking-investigation/26089568","USA","USA",48,,,48,"Sexual Exploit","30-01-2019","California"
"http://www.ldsliving.com/How-Children-Rescued-from-Human-Trafficking-Are-Healed-with-Help-from-Operation-Underground-Railroad/s/86682/","Central America","Central America",20,"5-25","-",20,"Sexual Exploit",,
"http://www.wlox.com/2019/03/01/teen-rescued-during-human-trafficking-sting-hub-city/","USA","USA",1,18,0,1,"Sexual Exploit","01-03-2019","Mississipi"
"https://www.wlns.com/news/michigan-state-police-rescued-five-human-trafficking-victims-in-west-michigan/1637989875","USA","USA",5,,,,,"03-12-2018","West Michigan"
"http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/","China","Ireland",30,"25-45",23,7,"Bonded Bonded Labour","09-02-2015",
"http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/","Romania","Ireland",30,"25-45",23,7,"Bonded Bonded Labour","09-02-2015",
"http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/","Albania","Ireland",15,,,,"Bonded Bonded Labour","09-02-2015",
"http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/","Vietnam","Ireland",15,,,,"Bonded Bonded Labour","09-02-2015",
"http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/","Lithuania","Ireland",15,,,,"Bonded Bonded Labour","09-02-2015",
"https://www.philstar.com/nation/2018/12/24/1879441/9-victims-trafficking-rescued-naia","philippines","South Korea",9,,,,"Hired Worker","20-12-2018","Manila"
"https://www.malaysiakini.com/news/366771","Bangladesh","Malaysia",59,,,,"Bonded Bonded Labour","20-12-2016",
"http://goldenageofgaia.com/2018/02/02/human-trafficking-crackdown-510-arrested-56-rescued-in-california/","USA","USA",56,,45,11,,"02-02-2018","California"
"https://www.pe.com/2017/08/17/2-human-trafficking-victims-rescued-l-a-man-arrested-in-chino-raid/","USA","USA",2,,2,0,"Bonded Bonded Labour","17-08-2018","Los Angeles"
"https://www.reuters.com/article/us-usa-trafficking-arrests-idUSKBN15G5J6","USA","USA",28,"10-18",,,,"02-02-2017",
"https://www.reuters.com/article/us-usa-trafficking-arrests-idUSKBN15G5J6","USA","USA",27,"18-35",,,"Sexual Exploit","02-02-2017",
"https://punchng.com/103-victims-of-human-trafficking-rescued-in-osun-naptip/","Nigeria",,103,,25,78,,"06-08-2018","Osun"
